Name	Set	ImageFile	Rarity	Type	Keywords	Allegiance	Cost	Asset	Attack	Armor	Structure	Speed	Mass	Armaments	Text
Entropy-Based Warfare (CR)	Crusade	CR034	Common	Command		Inner Sphere	3+4P+4T		2	0	3				Each opposing Unit under construction costs 1 more to activate.
Exterminator (EXT-4A) (CR)	Crusade	CR035	Common	Unit		ComStar	3+2M		2	0	7	Moderate	65 tons	4 Med Lasers, 10 LRMs	Overheat 1: +1 attack Jump (-1 attack: +1 initiative)
Falsified Maps (CR)	Crusade	CR036	Rare	Mission											Play only when being attacked. Search your Stockpile for any Terrain card and put it into play, activated, in the region containing the target. Shuffle your Stockpile afterwards.
Fast Deployment (CR)	Crusade	CR037	Common	Command			2+3L		2	4	1				Scrap this card when it is revealed. You may make up to three additional deployments this turn.
Fire Falcon B (CR)	Crusade	CR038	Rare	Unit	Omni	Jade Falcon	3+2A		3	0	4	Fast	25 tons	2 Lg Lasers	Overheat 1: +1 attack
Fire Falcon D (CR)	Crusade	CR039	Common	Unit	Omni	Jade Falcon	2+1T		2	0	4	Fast	25 tons	 Med Laser, 8 SRMs	NARC (Units in groups including any with NARC may subtract 1 from the die roll of each missile they fire.)
Fire From Partial Cover (CR)	Crusade	CR040	Uncommon	Mission											Play only if you lost initiative. Prevent up to 2 damage to each of your Units.
Firestarter (FS9-OF) (CR)	Crusade	CR041	Common	Unit	Omni	Marik	3+2A		3	0	6	Moderate	45 tons	2 Lg Lasers, 4 Med Lasers	Overheat 3: +1 attack Jump (-1 attack: +1 initiative)
Force of Will (CR)	Crusade	CR042	Common	Mission											One of your piloted 'Mechs gets +4 attack, and you may prevent 1 damage to that 'Mech.
Fury (CR)	Crusade	CR043	Rare	Command	Vehicle	Inner Sphere	3+1M		2	3	9				Vehicle (If Fury is damaged, roll a die. On a 5 or 6, scrap it.) Long-Range 1 (If Fury is blocked, it may deal 1 of its damage to the target.)
Goshawk (Vapor Eagle) (CR)	Crusade	CR044	Common	Unit		Steel Viper	8+2A+2M+2T		7	0	8	Moderate	55 tons	Lg Laser, 3 Med Lasers, 4 SRMs	Overheat 1: +1 attack Jump (-1 attack: +1 initiative)
Grand Crusader (GRN-D-01) (CR)	Crusade	CR045	Rare	Unit		ComStar	7+3A+3M+3T		0	0	9	Slow	80 tons	2 Lg Lasers, 2 Med Lasers, 40 LRMs	Missile 3 Overheat 5: +4 attack Anti-Missile (Prevent 1 damage from each missile fired at a Unit in a group that includes Grand Crusader.)
Grendel B (CR)	Crusade	CR046	Rare	Unit	Omni	Smoke Jaguar	6+2M		5	0	6	Fast	45 tons	3 Med Lasers, AC/5	Jump (-1 attack: +1 initiative)
Grendel C (CR)	Crusade	CR047	Uncommon	Unit	Omni	Smoke Jaguar	3+1A+1M+1T		2	0	6	Fast	45 tons	Med Laser, AC/10	Alpha Strike: +1 attack Jump (-1 attack: +1 initiative) Anti-Missile (Prevent 1 damage from each missile fired at a Unit in a group that includes Grendel C.)
Hankyu C (CR)	Crusade	CR048	Common	Unit	Omni	Clan	4+3A+2T		4	0	4	Fast	30 tons	6 Med Lasers	Overheat 3: +2 attack Jump (-1 attack: +1 initiative)
Hankyu Prime (CR)	Crusade	CR049	Common	Unit	Omni	Clan	3+3A+3T		3	0	4	Fast	30 tons	2 Med Lasers, 10 LRMs	Jump (-1 attack: +1 initiative) ECM (Units in groups including any with ECM each get +1 armor.)
Hasty Alliance (CR)	Crusade	CR050	Uncommon	Command		Inner Sphere	2+4P								Scrap this card when it is revealed. Activate this card only if you have any Unique Command cards in play. Search your Stockpile for any Unique Command card and put it into your Command Post, activated, at no cost. Shuffle your Stockpile afterwards.
Heat of Battle (CR)	Crusade	CR051	Rare	Command			2+4T		0	3	2				Your attacking groups of two or more Units can be blocked only by groups of two or more Units.
Heat Sink Destruction (CR)	Crusade	CR052	Common	Command	Enhancement		0+2T								When you activate this card, play it on any opposing Unit with at least one damage counter. Tap that Unit. Unit enhanced by this card gets -X attack and gains"Overheat X: +X attack," where X is equal to the Unit's base attack. You may deploy this card revealed to make an additional deployment this turn.
Hollander (BZK-F3) (CR)	Crusade	CR053	Common	Unit		Steiner	1+1L		2	0	4	Moderate	35 tons	Gauss Rifle	Long-Range 1 (If Hollander is blocked, it may deal 1 of its damage to the target.) You may deploy Hollander revealed to make an additional deployment this turn.
Huron Warrior (HUR-W0-R4M) (CR)	Crusade	CR054	Uncommon	Unit		Marik	4+2A+2T		3	0	8	Moderate	50 tons	 Lg Laser, Gauss Rifle	Overheat 1: +1 attack Long-Range 1 (If Huron Warrior is blocked, it may deal 1 of its damage to the target.)
Icy Terrain (CR)	Crusade	CR055	Common	Command	Terrain - Enhancement		1								When you activate this card, put it in one of your regions and scrap all other Terrain cards in that region. Deal 2 damage to each Unit that uses or used Jump. Use this ability only during a mission whose target is in the region enhanced by this card.
Improved Construction Facilities (CR)	Crusade	CR056	Common	Command	Resource		4			3	3				{T}: {R} {R} {R} Logistics (At the end of your turn, you may restock one card from your hand.)L
Indiscriminate Terrorism (CR)	Crusade	CR057	Common	Command		Inner Sphere	3+5P		0	3	1				{T}: Do 5 damage to each Stockpile. Use this ability only during your Missions phase, but not during a mission.
Intimidation Tactics (CR)	Crusade	CR058	Rare	Mission		Inner Sphere									Play only during battle and only if you lost initiative. Each opposing Unit gets -1 attack.
Isolated Forces (CR)	Crusade	CR059	Common	Command			5+7T		0	5	1				When you activate this card, do 5 damage to your Stockpile. Opposing Units do not untap during the Untap phases. During each opponent's Repair/Reload phase, that opponent may spend any amount of {R} to untap that many of his or her Units.
It's a Trap! (CR)	Crusade	CR060	Rare	Command	Subterfuge		3+5P								Scrap this card when it is revealed. Activate this card only during your Missions phase, but not during a mission. Choose any opponent. For every 2 counters above the cost of this card, choose one of his or her Units. Those Units attack any legal target of your choice as a single mission.
Judith Faber (CR)	Crusade	CR061	Rare	Command	Unique	ComStar	1+3P			4	2				Each player who controls any Clan cards plays with the top card of his or her Stockpile face up and shows each card he or she draws to all opponents.
Khan Vlad Ward (CR)	Crusade	CR062	Uncommon	Command	Unique	Wolf	2+3P		1	4	2				Counts as Vlad of the Wards while in play. {T}: Choose any opposing Unit. If that Unit does not attack during your opponent's next turn, scrap it. Use this ability only during your Deploy phase.
Knights of the Inner Sphere (CR)	Crusade	CR063	Rare	Command	Unique	Marik	2+3T+3P		0	5	2				Whenever an opposing Unit is scrapped from play, if Knights of the Inner Sphere is untapped, you may allow that opponent to restock that Unit after scrapping it. If you do so, put a chivalry counter on Knights of the Inner Sphere.{T}: One of your Units gets +X attack, where X is the number of chivalry counters on Knights of the Inner Sphere. Use this ability only during battle.
Kraken 2 (Bane) (CR)	Crusade	CR064	Rare	Unit		Jade Falcon	10+4A+4M+4L		6	0	11	Slow	100 tons	 4 AC/10s	Alpha Strike: +4 attack
Loose Cannon (CR)	Crusade	CR065	Rare	Command	Pilot		2+2T								Scrap the top card of your Stockpile to give 'Mech piloted by Loose Cannon +X initiative and +X attack, where X is that card's base construction cost. Use this ability only during a mission.
Marthe Pryde (CR)	Crusade	CR066	Rare	Command	Unique - Pilot	Jade Falcon	2+5T		0						+2 initiative Mech piloted by Marthe Dryden gets +2 attack for each Jade Falcon Unit in the group that includes that 'Mech. Use this ability only during a mission.
Maskirovka Sabotage (CR)	Crusade	CR067	Rare	Mission		Liao									Play only during battle. Roll a die:1: Draw a card after the mission. 2-6: Choose an opposing Unit. All damage dealt by that Unit in excess of its base attack is redirected to that Unit.
Mech Smuggling (CR)	Crusade	CR068	Rare	Command			2+4P								Scrap this card when it is revealed. Hide 1 to 5 counters; if opponent guesses the number of counters you hid, scrap that many cards from your Stockpile. Otherwise, search your Stockpile for up to 2 'Mech cards, show those cards to your opponent, put them into your hand, and shuffle your Stockpile afterwards.
MechWarrior Trent (CR)	Crusade	CR069	Rare	Command	Unique	Inner Sphere	1+3P			3	3				{T}: Your next mission this turn cannot be blocked if the target is not a Stockpile and the defending player controls any Clan cards. Use this ability only during your Missions phase, but not during a mission.
Michael Ryan (CR)	Crusade	CR070	Rare	Command	Unique	Kurita	3+5T		0	1	1				{T}: Choose any Command card in your opponent's Scrapheap that was scrapped from play this turn and put it into play, activated, under your control. Use this ability only during your Missions phase, but not during a mission.
Move to Dubious Cover (CR)	Crusade	CR071	Rare	Mission											Play only when blocking. Half the total damage dealt to one of your Units, rounded up, is dealt to the target instead.
Naga B (CR)	Crusade	CR072	Rare	Unit		Wolf	9+2A+2M+2L		6	2	5	Moderate	80 tons	3 Med Lasers, 2 Arrow IVs	Overheat 3: +3 attack {T}: Choose any 'Mech or the target and deal 2 damage to it. Use this ability only during a mission.
Natural Talent (CR)	Crusade	CR073	Uncommon	Command	Pilot		2		2						+2 attack Roll a die. 1-6: You get +(1-6) initiative. Use this ability only during battle.
Nexus (NXS1-A) (CR)	Crusade	CR074	Rare	Unit		Inner Sphere	1+1A		2	0	2	Fast	25 tons	3 Med Lasers	Jump (-1 attack: +1 initiative) Anti-Missile (Prevent 1 damage from each missile fired at a Unit in a group that includes Nexus.)
Night Gyr D (CR)	Crusade	CR075	Uncommon	Unit	Omni	Jade Falcon - Smoke Jaguar	15		3	2	9	Slow	75 tons	80 LRMs	Missile 6 Overheat 3: +5 attack Jump (-1 attack: +1 initiative)
Night Gyr Prime (CR)	Crusade	CR076	Common	Unit	Omni	Clan	12+4A+4T		10	2	9	Slow	75 tons	2 PPCs, 3 Med Lasers, AC/10	Overheat 1: +1 attack Jump (-1 attack: +1 initiative) Long-Range 2 (If Night Gyr Prime is blocked, it may deal up to 2 of its damage to the target.)
Paul Moon (CR)	Crusade	CR077	Common	Unit	Unique	Smoke Jaguar	1+3T		3	0	4				Battle Armor (Cannot attack or block alone, but does so at the speed of the fastest Omni 'Mech, if any, in the group that includes it.) Jump (-1 attack: +1 initiative) AP (Paul Moon deals +1 damage to any target other than a Unit.) Each other Battle Armor in a group that includes Paul Moon gets +1 attack. Use this ability only during a mission.
Perigard Zalman (CR)	Crusade	CR078	Rare	Command	Unique	Steel Viper	2+3P		2	4	4				{T}: Put any Mission card from your Scrapheap into your hand. Use this ability only during your Missions phase, but not during a mission.
Perseus (P1A) (CR)	Crusade	CR079	Rare	Unit	Omni	Marik	7+3T		2	2	9	Slow	75 tons	 2 Med Lasers, 40 LRMs	Missile 3 ECM (Units in groups including any with ECM each get +1 armor.)
Political Stranglehold (CR)	Crusade	CR080	Rare	Command		Liao	4+4P								Scrap this card when it is revealed. Choose any opponent. During that opponent's next turn, every card he or she draws is scrapped.
Raptor (RTX1-OA) (CR)	Crusade	CR081	Uncommon	Unit	Omni	Davion - Kurita	1+1A		2	0	3	Fast	25 tons	2 Lg Lasers	
Raptor (RTX1-OE) (CR)	Crusade	CR082	Uncommon	Unit	Omni	Kurita	1+1M		2	0	3	Fast	25 tons	30 MRMs	
Rhino (CR)	Crusade	CR083	Common	Unit		Inner Sphere	5+1L		0	3	11	Slow	80 tons	50 LRMs	Vehicle (If Rhino is damaged, roll a die. On a 5 or 6, scrap it.) Missile 3
Rommel (CR)	Crusade	CR084	Uncommon	Unit		Steiner	3+1M+1L		3	2	7	Slow	65 tons	5 LRMs, AC/20	Vehicle (If Rommel is damaged, roll a die. On a 5 or 6, scrap it.) Alpha Strike: +2 attack
Shadow Cat Prime (CR)	Crusade	CR085	Uncommon	Unit	Omni	Clan	4+3M		4	1	6	Moderate	45 tons	 Gauss Rifle, 2 Med Lasers	Jump (-1 attack: +1 initiative) Long-Range 1 (If Shadow Cat Prime is blocked, it may deal 1 of its damage to the target.)
Solahma MechWarrior (CR)	Crusade	CR086	Common	Command	Pilot	Clan	1+2T		1						+1 initiative, +1 attack Mech piloted by Solahma MechWarrior gets an additional +2 initiative and +2 attack. Use this ability only during battle.
SRM Carrier-3058 (CR)	Crusade	CR087	Common	Unit		Inner Sphere	7+2M+2T		10	2	1	Slow	60 tons	54 SRMs	Vehicle (If SRM Carrier is damaged, roll a die. On a 5 or 6, scrap it.) NARC (Units in groups including any with NARC may subtract 1 from the die roll of each missile they fire.)
Star Commander (CR)	Crusade	CR088	Uncommon	Command	Pilot	Clan	1+4T		2						+1 initiative, +2 attack Reroll any die roll made by any player. Use this ability only during battle and immediately after that die roll.
Star League Proving Grounds (CR)	Crusade	CR089	Uncommon	Command	Resource	Inner Sphere	2			4	2				{T}: {R} {T}: One of your unaffiliated Units gets +1 attack and +1 armor. Use this ability only during a mission.
Starslayer (STY-3C) (CR)	Crusade	CR090	Uncommon	Unit		Steiner	4+2A+1T		3	1	7	Moderate	50 tons	2 Lg Lasers, 2 Med Lasers	Overheat 1: +1 attack Jump (-1 attack: +1 initiative)
Steady...Steady...FIRE! (CR)	Crusade	CR091	Uncommon	Mission											Play only if you lost initiative. Roll all the missile dice for each of your Units' Missile options now. Whenever you use a Unit's Missile option, use these die rolls instead of rolling when damage resolves.
Steel Viper R&D Team (CR)	Crusade	CR092	Rare	Command		Steel Viper	4		0	2	5				{T}: Draw a card. You may make an additional deployment this turn. Use this ability only during your Draw phase.
Strategic Bombardment (CR)	Crusade	CR093	Rare	Command			3+4M		2	4	1				{T}: Choose any Resource card in play and deal 2 structure damage to it.
Striker (STC-2C) (CR)	Crusade	CR094	Uncommon	Unit		Liao - Steiner	6		5	3	8	Slow	80 tons	PPC, Lg Laser, 3 Med Lasers	
Surprise Maneuvers (CR)	Crusade	CR095	Uncommon	Mission											Your opponent gets -2 initiative. Draw a card.
Task Force Serpent (CR)	Crusade	CR096	Uncommon	Command	Unique	Inner Sphere	5+6P								Scrap this card when it is revealed. Search your Stockpile for up to 3 Unit cards and up to 2 Unique Command cards, show all those cards to your opponent, and put them into your hand. Shuffle your Stockpile afterwards.
Temptation (CR)	Crusade	CR097	Uncommon	Command			2+4T		0	3	3				Each opponent must attack at least once each turn that he or she can. You may deploy this card revealed to make an additional deployment this turn.
The Federated Commonwealth (CR)	Crusade	CR098	Uncommon	Command	Alliance		0								A deck may contain only one Alliance card. Begin the game with this card activated. Alliances are not sites and cannot be scrapped. If The Federated Commonwealth is in your deck, every Davion card in your deck gains the Steiner affiliation, and vice versa. Your non-Resource Command cards cost [R] more to activate.
The Invading Clans (CR)	Crusade	CR099	Rare	Command	Alliance		0								A deck may contain only one Alliance card. Begin the game with this card activated. Alliances are not sites and cannot be scrapped. If The Invading Clans is in your deck, every Clan card in your deck loses all affiliations. When you assign damage during a mission, you cannot have more than two Units deal damage to any given opposing Unit.
The Star League (CR)	Crusade	CR100	Common	Command	Alliance		0								A deck may contain only one Alliance card. Begin the game with this card activated. Alliances are not sites and cannot be scrapped. If The Star League is in your deck, every Inner Sphere card in your deck loses all affiliations. You get -1 initiative.
Thunder Hawk (TDK-7X) (CR)	Crusade	CR101	Rare	Unit		Steiner	12+2A+2L		8	4	11	Slow	100 tons	3 Gauss Rifles, 4 Med Lasers	Overheat 1: +1 attack Long-Range 3 (If Thunder Hawk is blocked, it may deal up to 3 damage to the target.)
Trojan Horse (CR)	Crusade	CR102	Uncommon	Mission		Liao									Play only if unblocked. Scrap one of your Units. The target receives 7 damage.
Turkina Prime (CR)	Crusade	CR103	Common	Unit	Omni	Clan	11+4A+4M+4L		6	3	11	Slow	 95 tons	2 PPCs, 30 LRMs, 2 AC/5s	Missile 2 Overheat 1: +1 attack Jump (-1 attack: +1 initiative) Long-Range 2 (If Turkina Prime is blocked, it may deal up to 2 of its damage to the target.)
Viper (Black Python) (CR)	Crusade	CR104	Rare	Unit		Steel Viper	11+4A+4M+4T		7	2	9	Moderate	75 tons	2 Lg Lasers, 2 Med Lasers	Overheat 2: +3 attack Jump (-1 attack: +1 initiative) Long-Range 1 (If Viper is blocked, it may deal 1 of its damage to the target.)
Viper's Maw (CR)	Crusade	CR105	Rare	Mission		Steel Viper									Play only when attacking and only during battle. Choose up to 2 opposing, untapped Units that are not in the battle. Tap those Units, which then join the battle.
War Dog (WR-DG-02FC) (CR)	Crusade	CR106	Uncommon	Unit		Inner Sphere	7+3T		5	2	9	Slow	75 tons	Gauss Rifle, Lg Laser, 2 Med Lasers	ECM (Units in groups including any with ECM each get +1 armor.) Anti-Missile (Prevent 1 damage from each missile fired at a Unit in a group that includes War Dog.) Long-Range 1 (If War Dog is blocked, it may deal 1 of its damage to the target.)
Wolfhound (WLF-1) (CR)	Crusade	CR107	Common	Unit		Davion - Steiner	1+1A+2T		2	1	5	Moderate	35 tons	 Lg Laser, 4 Med Lasers	Overheat 2: +1 attack
Zhukov (CR)	Crusade	CR108	Common	Unit		Liao - Marik	2+2M		2	2	7	Slow	75 tons	6 SRMs, 2 AC/10s	Vehicle (If Zhukov is damaged, roll a die. On a 5 or 6, scrap it.) Alpha Strike: +2 attack
Double Overtime	DCI	DCI01	Promo	Command			0								Reveal one of your Units under construction. Double the number of construction counters on that card.
Accurate Intelligence	Unlimited	LT001	Common	Mission											+1 initiative Choose one of your 'Mechs. That 'Mech gets +1 attack.
Aerospace Fighter Mission	Unlimited	LT002	Common	Command			4+5P [Errata]								Scrap Aerospace Fighter Mission when it is revealed. Deal 5 damage divided any way you choose among any number of 'Mechs and/or sites.
Alex Mallory	Unlimited	LT003	Rare	Command	Unique	Davion	3+3T+3P		0	3	1				{T}: Look at opponent's hand and choose a card. Opponent restocks that card and draws a card. Use this ability only during your Missions phase but not during a mission. Scrap Alex Mallory to roll a die: 1-6, gain +(1-6) resources. Use this ability only during your Deploy phase.
Ambush!	Unlimited	LT004	Common	Command	Subterfuge		4+4T								Scrap Ambush! when it is revealed. Reveal Ambush! when opponent attacks. Deal 1 damage to each attacking 'Mech for each 1 construction above the cost of Ambush!. Use this effect only during a mission.
Ammo Explosion	Unlimited	LT005	Uncommon	Mission											Play only when blocked or blocking. Choose a 'Mech. Roll a die: 1-3, no effect; 4-6, that 'Mech receives damage equal to its base attack. This damage cannot be prevented. That 'Mech may still deal damage.
Arms Reduction	Unlimited	LT006	Rare	Command			3+8P								Scrap Arms Reduction when it is revealed. Players cannot spend more than {R} {R} on construction each turn until any one player pays 5+3P during his or her Deploy phase.
Arrow IV Battery	Unlimited	LT007	Uncommon	Command	Artillery		1+1M+1L		0	0	3				{T}: Deal 1 structure damage to one site. Use this ability only during your Missions phase but not during a mission.
Assassin (ASN-21)	Unlimited	LT008	Uncommon	Unit		Inner Sphere	0+1A+1M		1	0	4	Fast	40 tons	Med Laser, 5 LRMs,2SRMs	Jump (-1 attack: +1 initiative)
Atlas (AS7-D)	Unlimited	LT009	Common	Unit		Inner Sphere	7+1L		3	3	11	Slow	100 tons	AC/20, 20 LRMs, 6 SRMs	Missile 1 Alpha Strike: +2 attack
Atlas (AS7-K)	Unlimited	LT010	Rare	Unit		Kurita	7+2A+2L+1M		2	3	11	Slow	100 tons	Gauss Rifle, 20 LRMs, 2 Lg Lasers	Missile 1 Overheat 4: +4 attack Anti-Missile (Each missile assigned to a 'Mech in a group that includes Atlas deals -1 damage.)
Awesome (AWS-8Q)	Unlimited	LT011	Common	Unit		Inner Sphere	6		4	3	10	Slow	80 tons	3 PPCs	If the Awesome attacks and is blocked, it may deal 1 of its damage to the target.
Awesome (AWS-9M)	Unlimited	LT012	Common	Unit		Marik	7+1A		4	3	10	Slow	80 tons	3 PPCs, 4 SRMs	Overheat 2: +2 attack
Axman (AXM-1N)	Unlimited	LT013	Rare	Unit		Davion - Steiner	6		4	3	6	Slow	65 tons	Hatchet, AC/20, Lg Laser, 3 Med Lasers	Alpha Strike: +2 attack Jump (-1 attack: +1 initiative) Axeman has +1 attack, usable only against Units of the same speed or slower (Errata)
Banshee (BNC-3E)	Unlimited	LT014	Uncommon	Unit		Inner Sphere	4		2	3	9	Slow	95 tons	PPC, AC/5	
Banshee (BNC-5S)	Unlimited	LT015	Common	Unit		Davion - Steiner	8+2A		5	3	9	Slow	95 tons	Gauss Rifle, 2 PPCs, 6 SRMs	Overheat 4: +3 attack
Battalion Support	Unlimited	LT016	Uncommon	Command			3+4L		0	2	1				Put five infantry counters on Battalion Support. During your Deploy phase, you may pay {R} for each infantry counter you move to another site. Each infantry counter adds+1 attack to that site. When that site is damaged, opponent may choose to redirect 1 damage to an infantry counter for each infantry counter on that site, scrapping those counters.
Bearer of McKennsy Hammer	Unlimited	LT017	Rare	Command	Pilot	Steiner	2+2T								+1 initiative When 'Mech piloted by Bearer of McKennsy Hammer attacks or blocks, roll a die: 1-3, no effect; 4-6, untap that Mech at end of current mission.
Bjorn Jorgensson	Unlimited	LT018	Rare	Command	Unique - Pilot	Ghost Bear	3+3T								Mech piloted by Bjorn Jorgensson deals +5 damage to any target other than a 'Mech.
Black Hawk A (Nova)	Unlimited	LT019	Common	Unit	Omni	Clan	7+1A+1M+1T		5	1	7	Moderate	50 tons	2 PPCs, Med Laser	Overheat 2: +2 attack Jump (-1 attack: +1 initiative) Anti-Missile (Each missile assigned to a 'Mech in a group that includes Black Hawk A deals -1 damage.)
Black Hawk B (Nova)	Unlimited	LT020	Common	Unit	Omni	Clan	5		4	1	7	Moderate	50 tons	Lg Laser, AC/5	Jump (-1 attack: +1 initiative) If Black Hawk B attacks and is blocked, it may deal 1 of its damage to the target.
Black Hawk D (Nova)	Unlimited	LT021	Common	Unit	Omni	Clan	2+3A		0	1	7	Moderate	50 tons	AC/5, 20 LRMs	Missile 2 Jump (-1 attack: +1 initiative)
Black Hawk Prime (Nova)	Unlimited	LT022	Common	Unit	Omni	Clan	13+2M+1L		7	1	7	Moderate	50 tons	12 Med Lasers	Overheat 4: +6 attack Jump (-1 attack: +1 initiative)
Black Knight (BL6-KNT)	Unlimited	LT023	Uncommon	Unit		Inner Sphere	5+2A		3	2	8	Slow	75 tons	PPC, 2 Lg Lasers, 4 Med Lasers	Overheat 3: +3 attack
Blackjack (BJ2)	Unlimited	LT024	Common	Unit		Davion	3+2A		3	1	7	Slow	45 tons	2 Lg Lasers, 8 SRMs	Overheat 1: +1 attack Jump (-1 attack: +1 initiative)
Caesar (CES-3R)	Unlimited	LT025	Common	Unit		Davion - Steiner	4+2A+1M		5	2	6	Slow	70 tons	Gauss Rifle, PPC, 2 Med Lasers	
Candace Liao	Unlimited	LT026	Rare	Command	Unique	St. Ives	4+2P		1	4	2				If Candace Liao is in play, all Subterfuge cards that are revealed are scrapped with no effect.
Cataphract (CTF-3D)	Unlimited	LT027	Uncommon	Unit		Liao	5		4	2	6	Slow	70 tons	AC/10, AC/5, 2 Med Lasers	Alpha Strike: +1 attack Jump (-1 attack: +1 initiative)
Catapult (CPLT-C3)	Unlimited	LT028	Common	Unit	Artillery	Liao	5		3	2	6	Slow	65 tons	Arrow IV, 4 Med Lasers	Overheat 2: +2 attack Jump (-1 attack: +1 initiative) {T}: Deal 1 damage to 'Mech or target. Use this ability only during a mission.
Caught in Hangar	Unlimited	LT029	Common	Command			2+4T								Scrap Caught in Hangar when it is revealed. Reveal Caught in Hangar during your Missions phase but not during a mission. Choose a 'Mech your opponent controls. That 'Mech may be attacked, regardless of its speed.
Centurion (CN9-A)	Unlimited	LT030	Common	Unit		Inner Sphere	2		2	1	6	Moderate	50 tons	AC/10, 10 LRMs	Alpha Strike: +1 attack
Centurion (CN9-D)	Unlimited	LT031	Uncommon	Unit		Inner Sphere	2+2A		2	1	6	Moderate	50 tons	AC/10, 10 LRMs	Alpha Strike: +2 attack
Chaparral Missile Tank	Unlimited	LT032	Uncommon	Command	Artillery	Inner Sphere	1+2M+2L		0	0	3				{T}: Deal 1 structure damage to one 'Mech. Use this ability only during battle.
Charger (CGR-1A1)	Unlimited	LT033	Uncommon	Unit		Kurita	1+1A+1P		1	1	7	Moderate	80 tons	5 Sm Lasers	
Cicada (CDA-2A)	Unlimited	LT034	Common	Unit		Inner Sphere	0+1A		1	0	3	Fast	40 tons	2 Med Lasers, Sm Laser	
Cicada (CDA-3M)	Unlimited	LT035	Common	Unit		Marik	1+1A		2	0	3	Fast	40 tons	AC/5, 2 Med Lasers	
Clint (CLNT-2-3T)	Unlimited	LT036	Uncommon	Unit		Inner Sphere	1+1A		2	1	3	Moderate	40 tons	AC/5, 2 Med Lasers	Jump (-1 attack: +1 initiative)
Clint (CLNT-2-3U)	Unlimited	LT037	Uncommon	Unit		Liao	1+3A		2	1	3	Moderate	40 tons	PPC, 2 Med Lasers	Overheat 2: +1 attack Jump (-1 attack: +1 initiative)
Combat Engineers	Unlimited	LT038	Uncommon	Command	Enhancement		3+2M+3L		2						Play Combat Engineers only on a site. Site Combat Engineers enhances gets +2 attack. When that site is damaged, attacker may choose to redirect up to 5 damage to Combat Engineers, scrapping it. You may move Combat Engineers to a different site during your Deploy phase. Playing Combat Engineers does not count as a deployment if revealed the turn you play it. (Errata)
Commando (COM-2D)	Unlimited	LT039	Common	Unit		Steiner	0+1A+1M		2	1	2	Moderate	25 tons	10 SRMs, Med Laser	
Communications Blackout	Unlimited	LT040	Uncommon	Command			0								Scrap Communications Blackout when it is revealed. Until the beginning of your next turn, no player may play Mission cards.
Communications Failure	Unlimited	LT041	Rare	Mission											Put a static counter on each attacking 'Mech. Each time a Mech with a static counter would normally untap, roll die: 1-3, 'Mech remains tapped;4-6: Remove all static counters from that Unit and untap it. (Errata)
Comstar Bank Account	Unlimited	LT042	Uncommon	Command	Resource	Inner Sphere	0+2A			1	5				{T}: Put a deposit counter on Comstar Bank Account. Use this ability only during your Deploy phase. {T}: {R}, plus {R} for each deposit counter you remove from Comstar Bank Account.
Contract with Gray Death Legion	Unlimited	LT043	Rare	Command	Unique - Mercenary	Inner Sphere	1+6P		2	2	4				{T}: One of your 'Mechs gets +3 attack and +2 armor. Use this ability only during a mission. If that 'Mech receives 5 or more damage, scrap Contract with Gray Death Legion. During your Repair/Reload phase, pay 1/2P or tap Contract with Gray Death Legion and choose an opponent. That opponent gains control of Contract with Gray Death Legion.
Contract with Wolf's Dragoons	Unlimited	LT044	Rare	Command	Unique - Mercenary	Inner Sphere	5+6P		3	2	4				{T}: One of your 'Mechs gets +4 attack and +4 armor. Use this ability only during a mission. If that 'Mech receives 5 or more damage, scrap Contract with Wolf's Dragoons. During your Repair/Reload phase, pay 1/2P or tap Contract with Wolf's Dragoons and choose an opponent. That opponent gains control of Contract with Wolf's Dragoons.
Coventry Metal Works	Unlimited	LT045	Vital	Command	Resource	Steiner	0+2P	M		4	2				{T}: {R} {T}: Reroll one of your missile die rolls. Use this ability immediately after rolling the missile die roll. Munitions (If you have Munitions in play and you roll a 3 on a missile roll, that missile volley deals 3 damage.)
Critical Hit	Unlimited	LT046	Common	Mission											Play only when blocked or blocking. Choose one of your 'Mechs. Roll a die: 1-5, return Critical Hit to your hand after mission; 6, your 'Mech gets +6 attack.
Crockett (CRK-5003-1)	Unlimited	LT047	Uncommon	Unit		Inner Sphere	7+2A		5	3	9	Slow	85 tons	2 Lg Lasers, 12 SRMs, AC/10	Overheat 1: +1 attack Jump (-1 attack: +1 initiative)
Culling	Unlimited	LT048	Rare	Command		Smoke Jaguar	3+3P								Scrap Culling when it is revealed and remove it from the game. Restock the top card from your Scrapheap for each 3 construction above the cost of Culling.
Cyclops (CP11A)	Unlimited	LT049	Common	Unit		Inner Sphere	4+1A		4	1	7	Slow	90 tons	Gauss Rifle, 10 LRMs, 2 Med Lasers	Alpha Strike: +1 attack
Daishi A (Dire Wolf)	Unlimited	LT050	Rare	Unit	Omni	Smoke Jaguar	17+5A+5M+5L		12	4	11	Slow	100 tons	Gauss Rifle, 12 SRMs, 3 Lg Lasers	Each missile assigned to a 'Mech in a group that includes Daishi A deals -1 damage. If Daishi A attacks and is blocked, it may deal up to 4 of its damage to the target.
